Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
1,5,Fast,95260,144757,11.7,3.5,6.0,34.1,3.3,0.280147,8158.6,15342.2,0.000358
2,8,Fast,249753,324420,3.6,3.4,4.3,3.4,3.3,0.241286,9648.2,13775.9,0.000516
3,15,Fast,366003,524303,5.2,1.1,2.1,11.0,6.7,0.256043,11198.4,12088.7,0.000331
4,9,Fast,653505,775245,6.5,8.5,3.3,7.8,6.5,0.344714,10216.9,14691.6,0.000315
5,15,Fast,1088170,1226466,3.9,1.6,2.1,5.7,6.3,0.223667,13326.5,14771.5,0.000308
6,108,Fast,1538598,2010055,2.7,0.9,2.1,5.9,2.0,0.099471,17587.7,14617.1,0.000437
7,6,Buzz,2191603,2192124,2.7,1.5,1.8,5.4,2.3,0.001864,12792.8,14077.1,0.000416
8,6,Buzz,2216899,2217719,2.9,2.1,1.7,6.0,1.9,0.003238,12436.2,14587.2,0.000401
9,6,Fast,2451490,2510883,7.7,13.1,4.7,7.5,5.7,0.269007,10315.5,13766.3,0.000291
10,6,Buzz,3055615,3056595,3.0,2.1,1.5,6.6,1.7,0.003850,13486.0,14297.3,0.000495
