Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
85,5,Slow,55167690,55242265,9.1,20.4,4.2,6.0,5.9,0.422268,11232.0,11161.1,0.000395
86,6,Fast,55431795,55499639,5.7,6.6,4.7,7.9,3.4,0.307179,7773.7,11515.0,0.000420
87,6,Fast,55604137,55636402,4.2,2.3,4.3,4.9,5.3,0.145932,8780.8,11232.9,0.000329
88,7,Slow,55744302,55864465,2.9,1.8,2.4,3.7,3.7,0.453662,13136.6,11351.6,0.000402
89,6,Unclassified,56097399,56484282,2.2,2.4,2.2,2.2,2.1,1.753778,11498.2,8093.2,0.000661
90,8,Unclassified,58148507,58502982,5.0,1.2,7.1,7.0,4.9,1.147872,8707.5,13302.4,0.000360
91,19,Slow,62842304,63136113,2.1,1.1,2.3,2.8,2.2,0.369544,11364.5,9415.4,0.000555
92,52,Fast,63329530,63553300,3.0,1.1,2.2,4.9,3.7,0.099063,12149.9,12541.7,0.000422
93,6,Slow,63577498,63682390,20.7,42.4,7.8,24.1,8.3,0.475365,9198.7,13386.2,0.000280
94,5,Slow,64525156,64610163,4.9,3.0,5.6,5.4,5.4,0.481451,8373.0,11381.5,0.000358
95,18,Fast,65954668,66089930,1.9,0.5,1.8,3.8,1.3,0.179213,15634.4,8840.7,0.001141
96,45,Fast,67959907,68438007,3.7,0.8,1.9,9.2,3.0,0.245954,13634.7,14071.5,0.000429
97,24,Fast,68690127,68889390,6.9,8.4,3.9,11.7,3.5,0.195991,9503.8,14411.1,0.000443
98,5,Slow,69600098,69667793,11.3,32.0,2.0,6.5,4.9,0.383248,12566.0,10748.6,0.000408
99,6,Fast,70036997,70066720,3.6,2.1,3.0,4.4,5.0,0.134399,10771.5,13444.7,0.000333
100,34,Fast,71544698,71911416,2.9,0.8,1.7,5.8,3.3,0.251602,11495.4,13365.1,0.000374
101,5,Unclassified,73088091,73443624,2.9,2.3,3.3,3.0,3.1,2.015045,8628.0,10467.2,0.000358
102,12,Slow,74396796,74580708,4.2,2.0,3.2,6.4,5.0,0.378720,11228.9,12323.7,0.000368
103,5,Fast,75748548,75805442,7.9,5.6,12.6,6.6,6.8,0.322080,7950.0,12069.4,0.000358
104,46,Fast,78578335,79169007,3.8,1.5,3.5,6.6,3.5,0.297257,9920.8,12849.5,0.000377
