Cntr,Nclicks,Class,wavIdx1,wavIdx2,boutConstancy,gapConstancy,peakConstancy,freqConstancy,widthConstancy,meanGap,meanPeak,meanFreq,meanWidth
67,14,Fast,47862176,47908124,6.4,1.6,14.0,5.6,4.3,0.079414,6596.3,5264.9,0.000680
68,6,Fast,47924966,47932999,9.5,1.8,25.3,7.9,3.0,0.035705,6523.8,5266.1,0.000605
69,9,Fast,47941677,47966034,3.4,2.0,3.7,2.6,5.4,0.068138,7441.1,5721.8,0.000801
70,7,Fast,47981196,47995450,2.3,1.6,1.2,1.9,4.3,0.053190,9335.1,7649.3,0.000583
71,27,Fast,48005928,48111841,5.5,1.4,14.7,2.4,3.7,0.091701,6559.6,5541.4,0.000646
72,85,Fast,48160436,48583004,2.1,1.0,2.2,2.3,3.0,0.113537,8971.8,8533.8,0.000528
73,18,Fast,48641452,48771195,2.9,1.2,4.4,2.4,3.6,0.172445,6903.1,6542.0,0.000581
74,5,Fast,48946602,48969945,7.2,2.2,17.4,5.2,3.9,0.131497,6510.4,5203.0,0.000667
75,5,Fast,49036731,49051257,5.4,2.2,15.2,1.8,2.4,0.081565,6492.6,6242.6,0.000626
76,161,Fast,49075056,49581586,1.9,0.7,1.9,1.9,3.2,0.071218,8129.4,7037.1,0.000565
77,5,Slow,50073795,50138032,6.2,9.7,4.0,5.5,5.8,0.363719,13013.4,12222.2,0.000349
78,5,Fast,50142670,50202037,9.2,5.9,3.0,23.7,4.0,0.336117,10779.4,14109.9,0.000345
79,6,Fast,50237351,50256900,6.4,2.9,6.0,12.6,3.9,0.088299,7550.5,14671.2,0.000299
80,9,Fast,50484876,50585086,3.2,2.3,2.6,2.7,5.1,0.283639,12760.2,12030.4,0.000358
81,6,Fast,50764722,50838343,2.5,1.3,1.9,3.0,3.7,0.333388,12839.7,12150.2,0.000412
82,5,Fast,51359419,51396047,4.4,4.2,3.2,6.3,3.9,0.207092,11634.4,13283.0,0.000440
83,8,Fast,51414310,51497244,4.7,3.5,4.6,6.6,4.1,0.268244,10065.2,12860.8,0.000360
84,15,Unclassified,51972813,52770865,3.0,0.9,4.0,4.2,3.0,1.292225,8780.6,11796.9,0.000351
85,6,Slow,53597234,53708453,4.5,4.2,4.8,6.4,2.5,0.504073,8032.3,15038.1,0.000268
86,5,Slow,55174659,55249234,9.1,20.4,4.2,6.0,5.9,0.422268,11230.6,11161.1,0.000395
87,6,Fast,55438764,55506608,5.7,6.6,4.7,7.9,3.4,0.307179,7774.2,11515.0,0.000420
88,6,Fast,55611106,55643371,4.2,2.3,4.3,4.9,5.3,0.145932,8781.0,11232.9,0.000329
89,7,Slow,55751271,55871434,2.9,1.8,2.4,3.7,3.7,0.453662,13137.6,11351.6,0.000402
90,6,Unclassified,56104368,56491251,2.2,2.4,2.2,2.2,2.1,1.753778,11498.0,8093.2,0.000661
91,8,Unclassified,58155476,58509951,5.0,1.2,7.1,7.0,4.9,1.147872,8706.0,13302.4,0.000360
92,19,Slow,62849273,63143082,2.1,1.1,2.3,2.8,2.2,0.369544,11364.3,9415.4,0.000555
93,52,Fast,63336499,63560269,3.0,1.1,2.2,4.9,3.7,0.099063,12150.2,12541.7,0.000422
94,6,Slow,63584467,63689359,20.7,42.4,7.8,24.1,8.3,0.475365,9197.8,13386.2,0.000280
95,5,Slow,64532125,64617132,4.9,3.0,5.6,5.4,5.4,0.481451,8371.8,11381.5,0.000358
96,17,Fast,65961637,66096899,1.9,0.5,1.8,3.9,1.2,0.190523,14925.4,8993.0,0.001106
97,46,Fast,67966876,68444976,3.7,0.9,1.9,9.3,2.9,0.240483,13468.8,14085.6,0.000425
98,24,Fast,68697096,68896359,6.9,8.4,3.9,11.7,3.5,0.195991,9504.3,14411.1,0.000443
99,5,Slow,69607067,69674762,11.3,32.0,2.0,6.5,4.9,0.383248,12568.0,10748.6,0.000408
100,6,Fast,70043966,70073689,3.6,2.1,3.0,4.4,5.0,0.134399,10769.8,13444.7,0.000333
101,34,Fast,71551667,71918385,2.9,0.8,1.7,5.8,3.3,0.251602,11495.0,13365.1,0.000374
102,5,Unclassified,73095060,73450593,2.9,2.3,3.3,3.0,3.1,2.015045,8626.0,10467.2,0.000358
103,12,Slow,74403765,74587677,4.2,2.0,3.2,6.4,5.0,0.378720,11228.8,12377.5,0.000368
104,5,Fast,75755517,75812411,7.9,5.6,12.6,6.6,6.8,0.322080,7951.6,12069.4,0.000358
105,46,Fast,78585304,79175976,3.8,1.5,3.5,6.6,3.5,0.297257,9920.6,12849.5,0.000377
